HH,EndPoint,C,E,M,V,OTH,FOLLOWUP
647,E1,P+,P+,,,,
2820,E1,P+,P+,,P+,,
3295,E1,,P+,,,,
8863,E4,N-,,,,,
9941,E1,P+,P+,,P+,,
10716,E1,,P+,,,,
11020,E3,P+,P+,,,,
11143,E1,,P+,,,,
11197,E1,P+,P+,,P+,,
12630,E6,N-,,,,,
14398,E1,,P+,,,,
14518,E5,,P+,,,,
14839,E4,N-,,,,,
16638,E1,,P+,,,,
17391,E1,P+,P+,,P+,,
17633,E4,,,,,N-,
18814,E1,,P+,,,,
19926,E1,,P+,,,,
20086,E1,P+,P+,,,,
20782,E1,P+,P+,,P+,,
21005,E1,,P+,,,,
22831,E2,,,,N-,,
23855,E1,P+,P+,,P+,,
24404,E1,P+,P+,,P+,,
25508,E3,,P+,,,,
27134,E5,,P+,,,,
28409,E4,N-,,,,,
28716,E5,,P+,,,,
29797,E3,,P+,,,,
31092,E1,P+,P+,,P+,,
31922,E1,P+,P+,,P+,,
32645,E4,N-,,,,,
33142,E1,,P+,,,,
35061,E5,,P+,,,,
35253,E6,N-,,,,,
37769,E1,P+,P+,,P+,,
39279,E1,,P+,,,,
40005,E1,P+,P+,,P+,,
40173,E1,P+,P+,,,,
41270,E4,N-,,,N-,,
41534,E1,,P+,,,,
41621,E6,,,N-,,,
42758,E5,,P+,,,,
44389,E1,,P+,,,,
44597,E3,P+,P+,,,,
45745,E1,,P+,,P+,,
46874,E3,,P+,,,,
48486,E4,,,N-,,,More
48781,E3,P+,P+,,,,
49636,E5,,P+,P+,,,
50876,E1,P+,P+,,,,
51194,E1,,P+,,,,
51393,E3,,P+,,,,
52279,E6,N-,,,,,
52308,E5,,P+,,,,
52345,E3,,P+,,,,
52431,E5,,P+,P+,,,
54468,E1,P+,P+,,P+,,
55019,E2,,,N-,N-,,No Change
55036,E2,N-,,,,,
55222,E4,,N-,,,,
57437,E3,P+,P+,,,,
58100,E6,N-,,,,,
58394,E3,,P+,,,,
58953,E6,,,N-,,,More
59678,E6,,,,N-,,
60655,E4,,,N-,,,
61094,E4,N-,,,,,
61238,E4,,,N-,,,No Change
63228,E1,,P+,,,P+,
63350,E1,P+,P+,,,,
63412,E4,N-,,,,,
64420,E1,,P+,,,,
65173,E1,P+,P+,,,,
65472,E1,P+,P+,,,,
65550,E6,N-,,,,,
66946,E3,,P+,,,,
69180,E4,N-,,,N-,,
69597,E3,,P+,,,,
69829,E5,,P+,,,,
70453,E4,,,,,N-,
72826,E3,,P+,,,,
73010,E4,,,,N-,,
73665,E1,,P+,,P+,,
74462,E3,,P+,,P+,,
74486,E1,,P+,,,,
76324,E1,P+,P+,,P+,,
77636,E5,,P+,,,,
79449,E3,,P+,,P+,,
79545,E3,,P+,,,,
79598,E5,,P+,,,,
81397,E1,,P+,,,,
82356,E4,N-,,,,,
83030,E1,P+,P+,,,,
89538,E5,,P+,,,,
90253,E3,,,,P+,,
91342,E4,,N-,,,,
92737,E4,N-,,,,,
93009,E6,,N-,,,,
94121,E1,,P+,,P+,,
94184,E3,P+,P+,,,,
94738,E3,P+,P+,,,,
